iter	Passed	Remaining
0	7	7894
1	16	8297
2	23	7666
3	29	7386
4	37	7536
5	42	7037
6	53	7574
7	58	7243
8	65	7250
9	74	7345
10	83	7521
11	89	7386
12	97	7387
13	105	7442
14	112	7395
15	118	7278
16	132	7673
17	138	7563
18	147	7606
19	154	7554
20	168	7863
21	173	7709
22	186	7916
23	193	7867
24	202	7895
25	207	7764
26	213	7700
27	220	7649
28	225	7554
29	233	7540
30	238	7462
31	245	7412
32	251	7374
33	256	7301
34	262	7246
35	277	7434
36	289	7536
37	319	8094
38	346	8530
39	381	9148
40	395	9249
41	402	9187
42	413	9199
43	440	9565
44	449	9534
45	454	9428
46	465	9441
47	471	9342
48	482	9369
49	488	9279
50	496	9242
51	503	9182
52	511	9141
53	518	9079
54	527	9061
55	533	8986
56	539	8917
57	546	8879
58	551	8799
59	558	8747
60	564	8694
61	569	8617
62	578	8600
63	583	8534
64	590	8500
65	596	8444
66	601	8374
67	606	8318
68	613	8271
69	618	8218
70	625	8188
71	631	8135
72	637	8089
73	644	8067
74	650	8019
75	657	7999
76	666	7991
77	677	8011
78	682	7960
79	692	7967
80	698	7925
81	707	7918
82	713	7879
83	717	7826
84	724	7804
85	731	7769
86	736	7726
87	742	7693
88	747	7648
89	753	7617
90	760	7598
91	765	7556
92	772	7537
93	778	7502
94	782	7457
95	790	7441
96	795	7404
97	799	7360
98	806	7339
99	811	7305
100	816	7264
101	823	7253
102	829	7226
103	835	7197
104	842	7179
105	847	7144
106	852	7117
107	858	7093
108	863	7062
109	871	7051
110	877	7030
111	883	7005
112	891	6996
113	896	6965
114	903	6951
115	908	6924
116	939	7090
117	945	7065
118	955	7073
119	960	7042
120	965	7014
121	972	6999
122	977	6969
123	987	6978
124	993	6955
125	999	6929
126	1005	6910
127	1012	6896
128	1020	6890
129	1028	6883
130	1035	6868
131	1040	6843
132	1045	6815
133	1052	6799
134	1057	6777
135	1063	6757
136	1072	6754
137	1077	6728
138	1083	6713
139	1089	6690
140	1093	6664
141	1100	6650
142	1105	6626
143	1110	6602
144	1117	6590
145	1122	6568
146	1127	6541
147	1134	6529
148	1139	6506
149	1143	6482
150	1151	6471
151	1156	6449
152	1160	6426
153	1168	6418
154	1173	6395
155	1178	6376
156	1186	6368
157	1190	6346
158	1198	6338
159	1203	6317
160	1213	6325
161	1222	6324
162	1231	6325
163	1237	6306
164	1242	6285
165	1251	6286
166	1256	6266
167	1263	6255
168	1269	6241
169	1273	6218
170	1282	6215
171	1287	6197
172	1295	6191
173	1301	6180
